base,gamma,modelo,evidencia
ogs,0.12,ttt-h,-193062.34822408648
ogs,0.16,ttt-h,-192830.49964918988
ogs,0.18,ttt-h,-192991.47740192755
kgs,0.01,ttt-h,-1.2286482245350755e6
kgs,0.015,ttt-h,-1.227510385925936e6
kgs,0.02,ttt-h,-1.2271250953750554e6
kgs,0.03,ttt-h,-1.2274132402285058e6
kgs,0.04,ttt-h,-1.2283940147434797e6
kgs,0.06,ttt-h,-1.2312391959012703e6
kgs,0.08,ttt-h,-1.2345988474655864e6
kgs,0.1,ttt-h,-1.2381852412688856e6
kgs,0.12,ttt-h,-1.2418944417649517e6
kgs,0.14,ttt-h,-1.2456849930228672e6
kgs,0.16,ttt-h,-1.2495402458748664e6
ogs,0.14,ttt-hk,-192707
ogs,0.16,ttt-hk,-192684
ogs,0.18,ttt-hk,-192828
kgs,0.03,ttt-hk,-1.234425741856121e6
kgs,0.02,ttt-hk,-1.2339952367382394e6
kgs,0.01,ttt-hk,-1.2351106683419584e6
ogs,0.155,ttt,-197606.30923750054
ogs,0.156,ttt,-197602.6571717973
ogs,0.157,ttt,-197599.4359516909
ogs,0.158,ttt,-197596.63908782002
ogs,0.159,ttt,-197594.26022120938
ogs,0.16,ttt,-197592.29311365657
ogs,0.161,ttt,-197590.73165081977
ogs,0.162,ttt,-197589.56983180073
ogs,0.163,ttt,-197588.80177238604
ogs,0.164,ttt,-197588.4217003375
ogs,0.165,ttt,-197588.42395064858
ogs,0.166,ttt,-197588.8029674233
ogs,0.167,ttt,-197589.55329425196
ogs,0.168,ttt,-197590.66958078003
ogs,0.169,ttt,-197592.146571696
ogs,0.17,ttt,-197593.97910678794
