player,day,mean,variance,skill
o0,0,-373.6032793648221,252.5493646928842,-400
o1,0,-353.4688294395903,231.2097201037125,-360
o2,0,-314.7641178981854,205.7328157980652,-320
o3,0,-270.6406610885888,184.71288967406676,-280
o4,0,-208.6771235788163,165.16965112905822,-240
o5,0,-169.59241533000667,154.35976756903008,-200
o6,0,-142.09954721427957,146.77776784939547,-160
o7,0,-84.14153184275294,138.36263612795884,-120
o8,0,-52.73869640725877,133.72457419481472,-80
o9,0,-8.05982707884292,129.26673345212265,-40
o10,0,12.694416488756008,129.15535840548253,0
o11,0,64.59707134370561,133.1945061082274,40
o12,0,103.48862507349115,137.9940229112113,80
o13,0,146.94425688391934,144.71077584027265,120
o14,0,173.29233799983928,151.3875187442844,160
o15,0,206.73159163071753,161.09724406281228,200
o16,0,240.37971276392534,173.2927874180992,240
o17,0,285.69189484581324,191.97396376087326,280
o18,0,351.78692511715593,228.77033605204846,320
o19,0,367.4918827205596,248.25325561113408,360
