,player,day,mean,variance,intra
0,c0p0,1,120,301.7787152185823,1
1,c0p1,1,40,30781.428952295395,1
2,c0p2,1,40,30781.428952295395,1
3,c1p0,1,-120,301.7787152185823,1
4,c1p1,1,-40,30781.428952295395,1
5,c1p2,1,-40,30781.428952295395,1
0,c0p0,1,120,301.7787152185823,2
1,c0p1,1,60,20520.9526348636,2
2,c0p2,1,60,20520.9526348636,2
3,c1p0,1,-120,301.7787152185823,2
4,c1p1,1,-60,20520.9526348636,2
5,c1p2,1,-60,20520.9526348636,2
0,c0p0,1,120,301.7787152185823,3
1,c0p1,1,72,15390.714476147697,3
2,c0p2,1,72,15390.714476147697,3
3,c1p0,1,-120,301.7787152185823,3
4,c1p1,1,-72,15390.714476147697,3
5,c1p2,1,-72,15390.714476147697,3
0,c0p0,1,120,301.7787152185823,4
1,c0p1,1,80,12372.927323961872,4
2,c0p2,1,80,12372.927323961872,4
3,c1p0,1,-120,301.7787152185823,4
4,c1p1,1,-80,12372.927323961872,4
5,c1p2,1,-80,12372.927323961872,4
0,c0p0,1,120,301.7787152185823,5
1,c0p1,1,86,10260.4763174318,5
2,c0p2,1,86,10260.4763174318,5
3,c1p0,1,-120,301.7787152185823,5
4,c1p1,1,-86,10260.4763174318,5
5,c1p2,1,-86,10260.4763174318,5
0,c0p0,1,120,301.7787152185823,6
1,c0p1,1,90,8751.582741338885,6
2,c0p2,1,90,8751.582741338885,6
3,c1p0,1,-120,301.7787152185823,6
4,c1p1,1,-90,8751.582741338885,6
5,c1p2,1,-90,8751.582741338885,6
0,c0p0,1,120,301.7787152185823,7
1,c0p1,1,94,7544.467880464557,7
2,c0p2,1,94,7544.467880464557,7
3,c1p0,1,-120,301.7787152185823,7
4,c1p1,1,-94,7544.467880464557,7
5,c1p2,1,-94,7544.467880464557,7
0,c0p0,1,120,301.7787152185823,8
1,c0p1,1,96,6639.1317348088105,8
2,c0p2,1,96,6639.1317348088105,8
3,c1p0,1,-120,301.7787152185823,8
4,c1p1,1,-96,6639.1317348088105,8
5,c1p2,1,-96,6639.1317348088105,8
0,c0p0,1,120,301.7787152185823,9
1,c0p1,1,99,6035.574304371647,9
2,c0p2,1,99,6035.574304371647,9
3,c1p0,1,-120,301.7787152185823,9
4,c1p1,1,-99,6035.574304371647,9
5,c1p2,1,-99,6035.574304371647,9
0,c0p0,1,120,301.7787152185823,10
1,c0p1,1,100,5432.016873934481,10
2,c0p2,1,100,5432.016873934481,10
3,c1p0,1,-120,301.7787152185823,10
4,c1p1,1,-100,5432.016873934481,10
5,c1p2,1,-100,5432.016873934481,10
0,c0p0,1,120,301.7787152185823,11
1,c0p1,1,102,5130.2381587159,11
2,c0p2,1,102,5130.2381587159,11
3,c1p0,1,-120,301.7787152185823,11
4,c1p1,1,-102,5130.2381587159,11
5,c1p2,1,-102,5130.2381587159,11
0,c0p0,1,120,301.7787152185823,12
1,c0p1,1,103,4526.680728278734,12
2,c0p2,1,103,4526.680728278734,12
3,c1p0,1,-120,301.7787152185823,12
4,c1p1,1,-103,4526.680728278734,12
5,c1p2,1,-103,4526.680728278734,12
0,c0p0,1,120,301.7787152185823,13
1,c0p1,1,104,4224.902013060152,13
2,c0p2,1,104,4224.902013060152,13
3,c1p0,1,-120,301.7787152185823,13
4,c1p1,1,-104,4224.902013060152,13
5,c1p2,1,-104,4224.902013060152,13
0,c0p0,1,120,301.7787152185823,14
1,c0p1,1,105,3923.12329784157,14
2,c0p2,1,105,3923.12329784157,14
3,c1p0,1,-120,301.7787152185823,14
4,c1p1,1,-105,3923.12329784157,14
5,c1p2,1,-105,3923.12329784157,14
0,c0p0,1,120,301.7787152185823,15
1,c0p1,1,106,3923.12329784157,15
2,c0p2,1,106,3923.12329784157,15
3,c1p0,1,-120,301.7787152185823,15
4,c1p1,1,-106,3923.12329784157,15
5,c1p2,1,-106,3923.12329784157,15
0,c0p0,1,120,301.7787152185823,16
1,c0p1,1,107,3621.344582622987,16
