evidence,handicap,komi,w_id,w_mu,w_cat,l_id,l_mu,l_cat
0.9999989591787638,5,0.5,2,4.5,4d,1,-13.5,13k
2.404911172971158e-12,0,6.5,1,-13.5,13k,2,4.5,4d
0.9999999337265534,0,6.5,4,6.5,6d,3,-4.5,4k
0.9999999336540442,0,6.5,4,6.50009,6d,3,-4.49938,8d
0.9999999897576578,0,6.5,3,-4.49938,8d,5,-27.5,27k
0.008909493665663433,3,0.5,23,-7.5,7k,18,-4.5,4k
0.9876586710881228,4,0.5,6,3.5,3d,21,-5.5,5k
0.9790363159537278,4,0.5,15,-4.5,4k,27,-14.5,14k
0.4847945993960752,0,6.5,15,-4.5,4k,20,-4.5,4k
0.9790363159537278,4,0.5,18,-4.5,4k,27,-14.5,14k
0.40722753618720536,0,0.5,20,-4.5,4k,18,-4.5,4k
0.9148138293761207,4,0.5,7,2.5,2d,20,-4.5,4k
4.454581661001055e-06,4,0.5,15,-4.5,4k,10,1.5,1d
0.24811660626957677,0,0.5,15,-4.5,4k,14,-3.5,3k
0.5060004949700135,3,0.5,18,-4.5,4k,23,-7.5,7k
0.9148138293761207,4,0.5,7,2.5,2d,15,-4.5,4k
3.7589720472365703e-07,4,0.5,18,-4.5,4k,7,2.5,2d
0.5800466676982606,0,0.5,14,-3.5,3k,18,-4.5,4k
0.2837813512308948,0,6.5,9,2.5,2d,6,3.5,3d
0.77418893010611,4,0.5,18,-4.5,4k,25,-10.5,10k
0.4818197506725597,0,6.5,9,2.5,2d,8,2.5,2d
0.5948680072706725,0,0.5,6,3.5,3d,7,2.5,2d
0.2620454124400082,0,6.5,27,-14.5,14k,26,-12.5,12k
0.8255694943389198,3,0.5,12,1.5,1d,13,-3.5,3k
0.5060004949700135,3,0.5,19,-4.5,4k,23,-7.5,7k
0.77418893010611,4,0.5,18,-4.5,4k,25,-10.5,10k
0.6565218676786672,0,6.5,14,-3.5,3k,18,-4.5,4k
0.9148138293761207,4,0.5,9,2.5,2d,18,-4.5,4k
0.4847945993960752,0,6.5,15,-4.5,4k,18,-4.5,4k
0.4818197506725597,0,6.5,8,2.5,2d,7,2.5,2d
0.9641028719371421,4,0.5,13,-3.5,3k,26,-12.5,12k
0.4847945993960752,0,6.5,15,-4.5,4k,18,-4.5,4k
0.40722753618720536,0,0.5,20,-4.5,4k,18,-4.5,4k
0.8182354468261789,4,0.5,10,1.5,1d,18,-4.5,4k
0.5060004949700135,3,0.5,15,-4.5,4k,23,-7.5,7k
0.6451564047736096,0,6.5,17,-5.5,5k,30,-6.5,6k
0.3862894327269649,0,6.5,6,3.26036,3d,9,3.61565,2d
0.8385247462093092,0,6.5,32,3.5,3d,41,1.5,1d
0.7666128886698441,0,6.5,25,-11.1864,10k,27,-12.9327,10k
0.4823786565315139,0,6.5,37,1.5,1d,34,1.5,1d
0.8051292283679239,0,6.5,38,-2.5,2k,35,-4.5,4k
0.9862111894463027,0,6.5,36,-8.5,8k,28,-15.5,15k
0.5723529697962176,0,6.5,14,-3.62962,3k,19,-4.04664,3k
0.4823786565315139,0,6.5,34,1.5,1d,41,1.5,1d
0.8324850745288714,0,6.5,32,3.5,3d,7,1.8375,2d
0.8934214797847099,0,6.5,15,-3.52303,4k,18,-5.27424,4k
0.024465706440778195,0,6.5,25,-11.1864,10k,30,-6.5,6k
0.5670309204819739,0,6.5,12,1.9072,1d,37,1.5,1d
0.17381140054574032,0,6.5,16,-4.5,4k,38,-2.5,2k
