evidence,handicap,komi,w_id,w_mu,w_cat,l_id,l_mu,l_cat
0.9999999917867463,5,0.5,2,4.5,4d,1,-13.5,13k
2.4059061426816104e-12,0,6.5,1,-13.5,13k,2,4.5,4d
0.9999999337265534,0,6.5,4,6.5,6d,3,-4.5,4k
0.11932540750917253,0,6.5,4,6.5,6d,3,8.5,8d
0.9999999897576578,0,6.5,3,-4.49938,8d,5,-27.5,27k
0.2620454124400082,0,6.5,27,-14.5,14k,26,-12.5,12k
0.9683545091928699,3,0.5,12,1.5,1d,13,-3.5,3k
0.7910723847622866,3,0.5,19,-4.5,4k,23,-7.5,7k
0.4847945993960752,0,6.5,15,-4.5,4k,18,-4.5,4k
0.968611169071555,4,0.5,18,-4.5,4k,25,-10.5,10k
0.6565218676786672,0,6.5,14,-3.5,3k,18,-4.5,4k
0.9967832252432507,4,0.5,9,2.5,2d,18,-4.5,4k
0.7910723847622866,3,0.5,15,-4.5,4k,23,-7.5,7k
0.4818197506725597,0,6.5,8,2.5,2d,7,2.5,2d
0.9979637082278436,4,0.5,13,-3.5,3k,26,-12.5,12k
0.4847945993960752,0,6.5,15,-4.5,4k,18,-4.5,4k
0.40722753618720536,0,0.5,20,-4.5,4k,18,-4.5,4k
0.9876559744849944,4,0.5,10,1.5,1d,18,-4.5,4k
0.4818197506725597,0,6.5,9,2.5,2d,8,2.5,2d
0.5948680072706725,0,0.5,6,3.5,3d,7,2.5,2d
0.2837813512308948,0,6.5,9,2.5,2d,6,3.5,3d
0.0009538205964489156,4,0.5,15,-4.5,4k,10,1.5,1d
0.05761046914249461,3,0.5,23,-7.5,7k,18,-4.5,4k
0.9998307230365004,4,0.5,6,3.5,3d,21,-5.5,5k
0.9988362720455787,4,0.5,15,-4.5,4k,27,-14.5,14k
0.4847945993960752,0,6.5,15,-4.5,4k,20,-4.5,4k
0.968611169071555,4,0.5,18,-4.5,4k,25,-10.5,10k
0.9988362720455787,4,0.5,18,-4.5,4k,27,-14.5,14k
0.40722753618720536,0,0.5,20,-4.5,4k,18,-4.5,4k
0.5800466676982606,0,0.5,14,-3.5,3k,18,-4.5,4k
0.9967832252432507,4,0.5,7,2.5,2d,20,-4.5,4k
0.24811660626957677,0,0.5,15,-4.5,4k,14,-3.5,3k
0.7910723847622866,3,0.5,18,-4.5,4k,23,-7.5,7k
0.9967832252432507,4,0.5,7,2.5,2d,15,-4.5,4k
0.00016329029033383642,4,0.5,18,-4.5,4k,7,2.5,2d
0.6791412479261816,0,6.5,9,2.5,2d,37,1.5,1d
0.2581504987093132,0,6.5,14,-3.62971,3k,38,-2.5,2k
0.5583436261440251,0,6.5,7,1.83736,2d,41,1.5,1d
0.5670581463855247,0,6.5,12,1.90733,1d,34,1.5,1d
0.4847945993960752,0,6.5,35,-4.5,4k,16,-4.5,4k
0.9607830972119337,0,6.5,36,-8.5,8k,27,-12.9334,10k
0.4237835449883633,0,6.5,6,3.26053,3d,32,3.5,3d
0.5991107920218459,0,6.5,15,-3.52323,4k,19,-4.04599,3k
0.9996413425138466,0,6.5,20,-4.4786,4k,25,-11.1856,10k
0.8717698871432834,0,6.5,9,3.61572,2d,34,1.5,1d
0.6540126955907258,0,6.5,14,-3.62971,3k,35,-4.5,4k
0.8725472337590268,0,6.5,17,-5.5,5k,36,-8.5,8k
0.8385247462093092,0,6.5,32,3.5,3d,37,1.5,1d
0.6976734700205621,0,6.5,38,-2.5,2k,15,-3.52323,4k
0.921263161474655,0,6.5,25,-11.1856,10k,28,-15.5,15k
0.5670581463855247,0,6.5,12,1.90733,1d,41,1.5,1d
0.6416584001096365,0,6.5,27,-12.9334,10k,26,-13.8467,10k
0.1454325093709254,0,6.5,7,1.83736,2d,6,3.26053,3d
0.21655030216613708,0,6.5,18,-5.27437,4k,19,-4.04599,3k
0.8275104216232667,0,6.5,20,-4.4786,4k,30,-6.5,6k
0.8772568041233474,0,6.5,9,3.61572,2d,7,1.83736,2d
0.8620702714167625,0,6.5,14,-3.62971,3k,18,-5.27437,4k
0.6451564047736096,0,6.5,17,-5.5,5k,30,-6.5,6k
0.8385247462093092,0,6.5,32,3.5,3d,41,1.5,1d
0.766791579255763,0,6.5,25,-11.1856,10k,27,-12.9334,10k
0.4823786565315139,0,6.5,37,1.5,1d,34,1.5,1d
0.8051292283679239,0,6.5,38,-2.5,2k,35,-4.5,4k
0.9862111894463027,0,6.5,36,-8.5,8k,28,-15.5,15k
0.3863143660264205,0,6.5,6,3.26053,3d,9,3.61572,2d
0.5721942281570768,0,6.5,14,-3.62971,3k,19,-4.04599,3k
0.2884014023836788,0,6.5,17,-5.5,5k,20,-4.4786,4k
0.8325061326197645,0,6.5,32,3.5,3d,7,1.83736,2d
0.8934125827059113,0,6.5,15,-3.52323,4k,18,-5.27437,4k
0.024490641363739834,0,6.5,25,-11.1856,10k,30,-6.5,6k
0.5670581463855247,0,6.5,12,1.90733,1d,37,1.5,1d
0.17381140054574032,0,6.5,16,-4.5,4k,38,-2.5,2k
0.699924897943541,0,6.5,26,-13.8467,10k,28,-15.5,15k
0.4823786565315139,0,6.5,34,1.5,1d,41,1.5,1d
0.9607830972119337,0,6.5,36,-8.5,8k,27,-12.9334,10k
0.9999978358294778,0,6.5,6,3.26053,3d,15,-3.52323,3k
0.9994989728382135,0,6.5,6,3.4157,3d,43,-2.5,2k
0.9999987634181293,0,6.5,6,3.4157,3d,17,-4.31819,3k
0.48274577680665326,0,6.5,6,3.4157,3d,9,3.38561,3d
0.9999999920227948,0,6.5,42,7.5,7d,20,-4.73888,4k
0.9999999920197706,0,6.5,42,7.5,7d,38,-3.46775,3k
0.9993122238852974,0,6.5,42,7.5,7d,7,2.45665,2d
0.9999999919828569,0,6.5,42,7.5,7d,14,-2.95523,3k
0.9999999868995091,0,6.5,9,3.38561,3d,19,-5.20533,5k
0.9999999915212049,0,6.5,9,3.38561,3d,18,-4.88061,5k
0.9999999920227995,0,6.5,9,3.38561,3d,27,-12.6118,12k
0.9996267379755458,0,6.5,43,-2.5,2k,25,-9.16822,9k
0.722813665110604,0,6.5,43,-2.5,2k,15,-3.63457,3k
0.99999970222488,0,6.5,43,-2.5,2k,27,-12.6118,12k
0.9999602960912332,0,6.5,7,2.45665,2d,14,-2.95523,3k
0.9999992199169292,0,6.5,7,2.45665,2d,22,-7.5,7k
0.9999999920227736,0,6.5,7,2.45665,2d,25,-9.16822,9k
0.9999999919896567,0,6.5,38,-3.46775,3k,26,-14.0598,14k
0.9710847581781317,0,6.5,38,-3.46775,3k,22,-7.5,7k
0.8661432187724335,0,6.5,38,-3.46775,3k,19,-5.20533,5k
0.9897094642990456,0,6.5,19,-5.20533,5k,25,-9.16822,9k
0.3887684837410989,0,6.5,19,-5.20533,5k,18,-4.88061,5k
0.9999999705141603,0,6.5,15,-3.63457,3k,44,-20.5,20k
0.9668090844812207,0,6.5,15,-3.63457,3k,22,-7.5,7k
0.8873267231462894,0,6.5,14,-2.95523,3k,20,-4.73888,4k
0.9999999849720735,0,6.5,14,-2.95523,3k,44,-20.5,20k
3.93913353555036e-06,0,6.5,27,-12.6118,12k,17,-4.31819,3k
0.9999999001563564,0,6.5,17,-4.31819,3k,26,-14.0598,14k
0.999999708907283,0,6.5,17,-4.31819,3k,44,-20.5,20k
0.9999997796940853,0,6.5,18,-4.88061,5k,44,-20.5,20k
0.43265703476534617,0,6.5,18,-4.88061,5k,20,-4.73888,4k
0.9999999860846952,0,6.5,20,-4.73888,4k,26,-14.0598,14k
0.607095723409602,0,6.5,36,-8.49921,8k,25,-9.16822,9k
0.9999980412917856,0,6.5,37,1.56533,1d,20,-5.02948,4k
0.9999999918769298,0,6.5,8,2.58706,2d,17,-7.26587,7k
0.4396616642506473,0,6.5,7,2.45717,2d,8,2.58706,2d
0.9324896685261551,0,6.5,20,-5.02948,4k,17,-7.26587,7k
0.7183412405477907,0,6.5,7,2.45717,2d,37,1.56533,1d
0.9999998825731825,0,6.5,8,2.58706,2d,20,-5.02948,4k
0.23317290060795942,0,6.5,37,1.56533,1d,8,2.58706,2d
0.7000659591063948,0,0.5,15,-3.67912,3k,18,-4.89213,4k
0.8567936700308101,0,0.5,14,-2.93512,3k,18,-4.89213,4k
0.036916463284857676,0,6.5,17,-7.28718,4k,18,-4.89213,4k
3.1795914261673294e-08,4,0.5,15,-3.67912,3k,9,3.19413,2d
0.9999996622725765,4,0.5,9,3.19413,2d,18,-4.89213,4k
0.2567457365326192,0,0.5,21,-5.54775,5k,18,-4.89213,4k
0.038253702305787625,3,0.5,21,-5.54775,5k,50,-2.5,2k
0.08495752064203484,0,0.5,18,-4.89213,4k,15,-3.67912,3k
0.6878885898347917,0,6.5,14,-2.93512,3k,15,-3.67912,3k
0.8567936700308101,0,0.5,14,-2.93512,3k,18,-4.89213,4k
9.606683502599354e-05,4,0.5,27,-9.6477,9k,18,-4.89213,4k
4.214983304971111e-05,3,0.5,15,-3.67912,3k,10,1.51196,1d
0.9965562079536071,3,0.5,10,1.51196,1d,15,-3.67912,3k
0.9997070826864081,4,0.5,10,1.51196,1d,18,-4.89213,4k
0.6878885898347917,0,6.5,14,-2.93512,3k,15,-3.67912,3k
0.9999258326650567,4,0.5,7,2.66988,2d,15,-3.67912,3k
9.606683502599354e-05,4,0.5,27,-9.6477,9k,18,-4.89213,4k
0.663118655882902,0,0.5,7,2.66988,2d,10,1.51196,1d
0.9999964117296949,0,6.5,48,2.5,2d,20,-5.01813,3k
0.9999999920113759,0,6.5,48,2.5,2d,27,-8.88698,9k
0.9971200603582292,0,6.5,20,-5.01813,3k,27,-8.88698,9k
0.9999990585641009,0,6.5,6,3.60605,3d,14,-2.68411,3k
0.9999632161734154,0,6.5,32,3.24158,3d,53,-4.5,4k
0.99999998503165,0,6.5,7,2.83309,2d,19,-4.82483,3k
0.9999996563095529,0,6.5,8,1.83378,2d,20,-5.0181,4k
0.19356026351937966,0,6.5,34,1.1062,1d,45,2.5,2d
8.226472701391422e-05,0,6.5,16,-3.95579,3k,46,2.5,2d
0.9999220820057635,0,6.5,47,2.5,2d,35,-4.1301,4k
0.9999861791695724,0,6.5,9,2.8915,2d,13,-4.04479,4k
0.46765830842471484,0,6.5,21,-4.58005,5k,52,-4.5,4k
0.9992476958960317,0,6.5,15,-3.81075,3k,23,-8.26139,7k
0.11133325161852389,0,6.5,22,-7.50167,7k,18,-5.22315,4k
0.999999959461394,0,6.5,49,1.5,1d,30,-8.84746,7k
0.9999982872194131,0,6.5,48,2.5,1d,55,-8.5,8k
0.9998094010972497,0,6.5,51,-2.5,2k,25,-9.34566,9k
0.9907156595056101,0,6.5,17,-4.88684,4k,27,-8.88716,10k
0.9436052048466279,0,6.5,50,-2.89412,2k,54,-6.5,6k
0.9596448621029626,0,6.5,6,3.60605,3d,34,1.1062,1d
0.00011842601058520586,0,6.5,50,-2.89412,2k,32,3.24158,3d
0.9986788814201057,0,6.5,7,2.83309,2d,51,-2.5,2k
0.9999907522831705,0,6.5,8,1.83378,2d,15,-3.81075,3k
8.226472701391422e-05,0,6.5,16,-3.95579,3k,47,2.5,2d
0.9999990961747713,0,6.5,9,2.8915,2d,17,-4.88684,4k
0.9999102680596684,0,6.5,48,2.5,1d,21,-4.58005,5k
0.9999644268061438,0,6.5,49,1.5,1d,22,-7.50167,7k
0.9999220820057635,0,6.5,45,2.5,2d,35,-4.1301,4k
0.9999964097574402,0,6.5,46,2.5,2d,20,-5.0181,4k
0.9880554673542263,0,6.5,19,-4.82483,3k,23,-8.26139,7k
0.9999422229314584,0,6.5,14,-2.68411,3k,30,-8.84746,7k
0.9363629204469758,0,6.5,18,-5.22315,4k,55,-8.5,8k
0.9913310869362166,0,6.5,52,-4.5,4k,25,-9.34566,9k
0.997617758623699,0,6.5,13,-4.04479,4k,27,-8.88716,10k
0.8949373547267638,0,6.5,6,3.60605,3d,8,1.83378,2d
0.9997863436092027,0,6.5,7,2.83309,2d,50,-2.89412,2k
0.7817076638261901,0,6.5,9,2.8915,2d,49,1.5,1d
0.9998776556930214,0,6.5,48,2.5,1d,16,-3.95579,3k
0.9978493375731305,0,6.5,34,1.1062,1d,52,-4.5,4k
0.3138870477425393,0,6.5,45,2.5,2d,32,3.24158,3d
0.49847750066186486,0,6.5,53,-4.5,4k,21,-4.58005,5k
0.025717572883118246,0,6.5,22,-7.50167,7k,15,-3.81075,3k
0.999999023924471,0,6.5,46,2.5,2d,18,-5.22315,4k
0.7806096733956115,0,6.5,14,-2.68411,3k,13,-4.04479,4k
0.9999364374302385,0,6.5,47,2.5,2d,17,-4.88684,4k
0.8909448510457914,0,6.5,51,-2.5,2k,19,-4.82483,3k
0.9978011926045581,0,6.5,20,-5.0181,4k,25,-9.34566,9k
0.997356993749455,0,6.5,35,-4.1301,4k,30,-8.84746,7k
0.44100374025077027,0,6.5,55,-8.5,8k,23,-8.26139,7k
0.8714468774572534,0,6.5,54,-6.5,6k,27,-8.88716,10k
0.686682841256823,0,6.5,6,3.60605,3d,9,2.8915,2d
0.3974211025387707,0,6.5,48,2.5,1d,7,2.83309,2d
0.3731151528663146,0,6.5,53,-4.5,4k,16,-3.95579,3k
0.9999862463071874,0,6.5,34,1.1062,1d,22,-7.50167,7k
0.5602292758911674,0,6.5,51,-2.5,2k,50,-2.89412,2k
0.999465032367248,0,6.5,8,1.83378,2d,14,-2.68411,3k
0.28943454857793466,0,6.5,49,1.5,1d,47,2.5,2d
0.4818197506725597,0,6.5,45,2.5,2d,46,2.5,2d
